Sample,Cruise,Expt,Depth,Light,Treatment_2,Station,Cast,Longitude,Latitude,SigmaT,Salinity,Temp,Oxygen,NO2,NO3,NH4,Chl_SP,pPAR,Inc.PAR,NH3.Ox.12,Stdev_4,SE_4,NO2.Ox.12,Stdev_2,SE_2,NO3.Red.12,Stdev_3,SE_3,NO2.up,NO3.up,NH3.up,PNM_depth,PNM_max,Chl_max,Chl_depth,NitPNM,Nitracline_top
#,ID,ID,m,condition,ID,ID,#,deg W,deg N,kg/m3,PSU,deg C,umol/L,umol/L,umol/L,nmol/L,mg/m3,%,%,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,m,umol/L,mg/m3,m,umol/L,m
16,Ward,RM4,30,LL,20uM NO3,PS3,75,102.35,17.68,24.75,34.59,18.83,31.64,0.47,37.55,29.00,3.28,0.0138,0.0100,83.35,25.35,17.92,53.25,1.54,1.09,4.51,1.57,1.11,3.30,117.99,70.88,21.00,0.65,11.93,16.00,15.74,10.00
17,Ward,RM4,30,ML,20uM NO3,PS3,75,102.35,17.68,24.75,34.59,18.83,31.64,0.47,37.53,29.00,3.28,0.0138,0.0500,78.74,17.19,12.16,48.68,3.58,2.53,6.14,0.81,0.57,10.70,127.52,91.27,21.00,0.65,11.93,16.00,15.74,10.00
18,Ward,RM4,30,HL,20uM NO3,PS3,75,102.35,17.68,24.75,34.59,18.83,31.64,0.47,35.95,29.00,3.28,0.0138,0.2500,64.21,1.09,0.77,49.31,2.08,1.47,6.61,3.41,2.41,11.80,166.27,102.99,21.00,0.65,11.93,16.00,15.74,10.00
19,Ward,RM6,30,DK,Ambient,PS3,87,102.35,17.68,24.34,34.5,20.17,65.03,0.52,19.11,25.00,1.93,0.0336,0.0000,NA,4.13,2.92,NA,31.98,22.61,NA,NA,NA,20.70,NA,NA,30.00,0.52,4.42,32.00,NA,NA
20,Ward,RM6,30,LL,Ambient,PS3,87,102.35,17.68,24.34,34.5,20.17,65.03,0.52,19.38,25.00,1.93,0.0336,0.0100,NA,2.69,1.90,NA,1.71,1.21,NA,0.44,0.31,3.82,NA,NA,30.00,0.52,4.42,32.00,NA,NA
21,Ward,RM6,30,DK,>10um backflush,PS3,87,102.35,17.68,24.34,34.5,20.17,65.03,0.52,22.84,25.00,1.93,0.0336,0.0000,NA,0.76,0.53,NA,1.16,0.82,NA,0.24,0.17,4.30,NA,NA,30.00,0.52,4.42,32.00,NA,NA
22,Ward,RM6,30,LL,>10um backflush,PS3,87,102.35,17.68,24.34,34.5,20.17,65.03,0.52,25.76,25.00,1.93,0.0336,0.0100,NA,1.09,0.77,NA,0.51,0.36,NA,0.77,0.55,2.87,NA,NA,30.00,0.52,4.42,32.00,NA,NA
23,Ward,RM6,30,DK,<2um membrane,PS3,87,102.35,17.68,24.34,34.5,20.17,65.03,0.52,26.20,25.00,1.93,0.0336,0.0001,NA,3.30,2.33,NA,2.37,1.68,NA,0.69,0.49,2.80,NA,NA,30.00,0.52,4.42,32.00,NA,NA
24,Ward,RM6,30,LL,<2um membrane,PS3,87,102.35,17.68,24.34,34.5,20.17,65.03,0.52,26.60,25.00,1.93,0.0336,0.0100,NA,0.83,0.59,NA,2.07,1.46,NA,0.73,0.51,3.88,NA,NA,30.00,0.52,4.42,32.00,NA,NA
25,Ward,RM6,30,DK,<0.7 GFF,PS3,87,102.35,17.68,24.34,34.5,20.17,65.03,0.52,26.77,25.00,1.93,0.0336,0.0001,NA,5.98,4.23,NA,1.26,0.89,NA,0.53,0.37,NA,NA,NA,30.00,0.52,4.42,32.00,NA,NA
26,Ward,RM6,30,LL,<0.7 GFF,PS3,87,102.35,17.68,24.34,34.5,20.17,65.03,0.52,26.24,25.00,1.93,0.0336,0.0100,NA,32.49,22.97,NA,9.17,6.48,NA,1.41,1.00,NA,NA,NA,30.00,0.52,4.42,32.00,NA,NA
27,Ward,DR1,55,LL,Ambient,PS1,9,113.00,10.00,23.5654,34.293,22.4217,86.46,1.08,12.20,68.50,3.175,0.0180,0.0100,13.66,3.39,2.40,4.96,3.68,2.60,NA,1.17,0.83,9.49,NA,NA,60.00,1.52,4.14,53.00,8.35,50.00
28,Ward,DR1,60,LL,Ambient,PS1,9,113.00,10.00,23.86,34.37,21.57,68.2,0.75,14.79,9.00,2.7215,0.0103,0.0100,11.65,4.28,3.02,-0.94,0.70,0.50,NA,0.18,0.13,6.04,NA,NA,60.00,1.52,4.14,53.00,8.35,50.00
